"CODI_EQUIPAMENT","EQUIPAMENT","SECCIO","TIPUS_VIA","NOM_CARRER","NUM_CARRER_1","NUM_CARRER_2","CODI_BARRI","NUM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_POSTAL","CODI_POBLACIO","POBLACIO","LATITUD","LONGITUD","X_ETRS89","Y_ETRS89","X_ED50","Y_ED50","TELEFON_NUM","TELEFON_TIPUS","TELEFON_INFO_COM","HORARI_PERIODE_INICI","HORARI_PERIODE_FI","HORARI_DIES","HORARI_HORES_INICI","HORARI_HORES_FI","HORARI_OBSERVACIONS",
"61171409","Zoo de Barcelona","#","C","Wellington","1","1","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08005","019","BARCELONA","41.387483","2.191979","432443.405","4582087.727","432535.356","4582288.662","937065656","Informació","","01/06","23/06","1111100","10:00:00","20:00:00"," ",
"61171409","Zoo de Barcelona","#","C","Wellington","1","1","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08005","019","BARCELONA","41.387483","2.191979","432443.405","4582087.727","432535.356","4582288.662","937065656","Informació","","24/06","13/09","0000000","10:00:00","20:00:00"," ",
"61171409","Zoo de Barcelona","#","C","Wellington","1","1","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08005","019","BARCELONA","41.387483","2.191979","432443.405","4582087.727","432535.356","4582288.662","937065656","Informació","","14/09","24/10","0000000","10:00:00","19:00:00"," ",
"61171409","Zoo de Barcelona","#","C","Wellington","1","1","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08005","019","BARCELONA","41.387483","2.191979","432443.405","4582087.727","432535.356","4582288.662","932256780","Centraleta","","25/10","28/03","","10:00:00","17:30:00","Els grups superiors a 20<br> persones han de contactar<br> amb zoobarcelona@bsmsa.cat<br> per rebre informació dels preus d'entrades per visitar el Zoo",
"61171409","Zoo de Barcelona","#","C","Wellington","1","1","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08005","019","BARCELONA","41.387483","2.191979","432443.405","4582087.727","432535.356","4582288.662","932256780","Centraleta","","25/10","28/03","0000000","10:00:00","17:30:00"," ",
"61171409","Zoo de Barcelona","#","C","Wellington","1","1","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08005","019","BARCELONA","41.387483","2.191979","432443.405","4582087.727","432535.356","4582288.662","932256780","Centraleta","","25/10","28/03","","10:00:00","14:00:00"," ",
"61171409","Zoo de Barcelona","#","C","Wellington","1","1","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08005","019","BARCELONA","41.387483","2.191979","432443.405","4582087.727","432535.356","4582288.662","932256780","Centraleta","","25/10","28/03","1111111","10:00:00","14:00:00"," ",
"61171409","Zoo de Barcelona","#","C","Wellington","1","1","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08005","019","BARCELONA","41.387483","2.191979","432443.405","4582087.727","432535.356","4582288.662","932256780","Centraleta","","29/03","31/05","0000000","10:00:00","19:00:00"," ",
"61171409","Zoo de Barcelona","#","C","Wellington","1","1","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08005","019","BARCELONA","41.387483","2.191979","432443.405","4582087.727","432535.356","4582288.662","932256780","Centraleta","","01/06","23/06","0000011","10:00:00","19:00:00"," ",
"61171409","Zoo de Barcelona","#","C","Wellington","1","1","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08005","019","BARCELONA","41.387483","2.191979","432443.405","4582087.727","432535.356","4582288.662","932256780","Centraleta","","01/06","23/06","1111100","10:00:00","20:00:00"," ",
"61171409","Zoo de Barcelona","#","C","Wellington","1","1","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08005","019","BARCELONA","41.387483","2.191979","432443.405","4582087.727","432535.356","4582288.662","932256780","Centraleta","","24/06","13/09","0000000","10:00:00","20:00:00"," ",
"61171409","Zoo de Barcelona","#","C","Wellington","1","1","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08005","019","BARCELONA","41.387483","2.191979","432443.405","4582087.727","432535.356","4582288.662","932256780","Centraleta","","14/09","24/10","0000000","10:00:00","19:00:00"," ",
"61171409","Zoo de Barcelona","#","Parc","Ciutadella","0","0","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08003","019","BARCELONA","41.388209","2.186622","431996.317","4582172.602","432088.264","4582373.538","932256787","Tel.","Departament d'Educació","25/10","28/03","","10:00:00","17:30:00","Els grups superiors a 20<br> persones han de contactar<br> amb zoobarcelona@bsmsa.cat<br> per rebre informació dels preus d'entrades per visitar el Zoo",
"61171409","Zoo de Barcelona","#","Parc","Ciutadella","0","0","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08003","019","BARCELONA","41.388209","2.186622","431996.317","4582172.602","432088.264","4582373.538","932256787","Tel.","Departament d'Educació","25/10","28/03","0000000","10:00:00","17:30:00"," ",
"61171409","Zoo de Barcelona","#","Parc","Ciutadella","0","0","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08003","019","BARCELONA","41.388209","2.186622","431996.317","4582172.602","432088.264","4582373.538","932256787","Tel.","Departament d'Educació","25/10","28/03","","10:00:00","14:00:00"," ",
"61171409","Zoo de Barcelona","#","Parc","Ciutadella","0","0","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08003","019","BARCELONA","41.388209","2.186622","431996.317","4582172.602","432088.264","4582373.538","932256787","Tel.","Departament d'Educació","25/10","28/03","1111111","10:00:00","14:00:00"," ",
"61171409","Zoo de Barcelona","#","Parc","Ciutadella","0","0","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08003","019","BARCELONA","41.388209","2.186622","431996.317","4582172.602","432088.264","4582373.538","932256787","Tel.","Departament d'Educació","29/03","31/05","0000000","10:00:00","19:00:00"," ",
"61171409","Zoo de Barcelona","#","Parc","Ciutadella","0","0","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08003","019","BARCELONA","41.388209","2.186622","431996.317","4582172.602","432088.264","4582373.538","932256787","Tel.","Departament d'Educació","01/06","23/06","0000011","10:00:00","19:00:00"," ",
"61171409","Zoo de Barcelona","#","Parc","Ciutadella","0","0","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08003","019","BARCELONA","41.388209","2.186622","431996.317","4582172.602","432088.264","4582373.538","932256787","Tel.","Departament d'Educació","01/06","23/06","1111100","10:00:00","20:00:00"," ",
"61171409","Zoo de Barcelona","#","Parc","Ciutadella","0","0","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08003","019","BARCELONA","41.388209","2.186622","431996.317","4582172.602","432088.264","4582373.538","932256787","Tel.","Departament d'Educació","24/06","13/09","0000000","10:00:00","20:00:00"," ",
"61171409","Zoo de Barcelona","#","Parc","Ciutadella","0","0","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08003","019","BARCELONA","41.388209","2.186622","431996.317","4582172.602","432088.264","4582373.538","932256787","Tel.","Departament d'Educació","14/09","24/10","0000000","10:00:00","19:00:00"," ",
"61171409","Zoo de Barcelona","#","C","Wellington","1","1","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08005","019","BARCELONA","41.387483","2.191979","432443.405","4582087.727","432535.356","4582288.662","932256787","Tel.","Departament d'Educació","25/10","28/03","","10:00:00","17:30:00","Els grups superiors a 20<br> persones han de contactar<br> amb zoobarcelona@bsmsa.cat<br> per rebre informació dels preus d'entrades per visitar el Zoo",
"61171409","Zoo de Barcelona","#","C","Wellington","1","1","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08005","019","BARCELONA","41.387483","2.191979","432443.405","4582087.727","432535.356","4582288.662","932256787","Tel.","Departament d'Educació","25/10","28/03","0000000","10:00:00","17:30:00"," ",
"61171409","Zoo de Barcelona","#","C","Wellington","1","1","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08005","019","BARCELONA","41.387483","2.191979","432443.405","4582087.727","432535.356","4582288.662","932256787","Tel.","Departament d'Educació","25/10","28/03","","10:00:00","14:00:00"," ",
"61171409","Zoo de Barcelona","#","C","Wellington","1","1","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08005","019","BARCELONA","41.387483","2.191979","432443.405","4582087.727","432535.356","4582288.662","932256787","Tel.","Departament d'Educació","25/10","28/03","1111111","10:00:00","14:00:00"," ",
"61171409","Zoo de Barcelona","#","C","Wellington","1","1","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08005","019","BARCELONA","41.387483","2.191979","432443.405","4582087.727","432535.356","4582288.662","932256787","Tel.","Departament d'Educació","29/03","31/05","0000000","10:00:00","19:00:00"," ",
"61171409","Zoo de Barcelona","#","C","Wellington","1","1","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08005","019","BARCELONA","41.387483","2.191979","432443.405","4582087.727","432535.356","4582288.662","932256787","Tel.","Departament d'Educació","01/06","23/06","0000011","10:00:00","19:00:00"," ",
"61171409","Zoo de Barcelona","#","C","Wellington","1","1","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08005","019","BARCELONA","41.387483","2.191979","432443.405","4582087.727","432535.356","4582288.662","932256787","Tel.","Departament d'Educació","01/06","23/06","1111100","10:00:00","20:00:00"," ",
"61171409","Zoo de Barcelona","#","C","Wellington","1","1","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08005","019","BARCELONA","41.387483","2.191979","432443.405","4582087.727","432535.356","4582288.662","932256787","Tel.","Departament d'Educació","24/06","13/09","0000000","10:00:00","20:00:00"," ",
"61171409","Zoo de Barcelona","#","C","Wellington","1","1","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08005","019","BARCELONA","41.387483","2.191979","432443.405","4582087.727","432535.356","4582288.662","932256787","Tel.","Departament d'Educació","14/09","24/10","0000000","10:00:00","19:00:00"," ",
"61171409","Zoo de Barcelona","#","Parc","Ciutadella","0","0","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08003","019","BARCELONA","41.388209","2.186622","431996.317","4582172.602","432088.264","4582373.538","932256780","Centraleta","","25/10","28/03","","10:00:00","17:30:00","Els grups superiors a 20<br> persones han de contactar<br> amb zoobarcelona@bsmsa.cat<br> per rebre informació dels preus d'entrades per visitar el Zoo",
"61171409","Zoo de Barcelona","#","Parc","Ciutadella","0","0","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08003","019","BARCELONA","41.388209","2.186622","431996.317","4582172.602","432088.264","4582373.538","932256780","Centraleta","","25/10","28/03","0000000","10:00:00","17:30:00"," ",
"61171409","Zoo de Barcelona","#","Parc","Ciutadella","0","0","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08003","019","BARCELONA","41.388209","2.186622","431996.317","4582172.602","432088.264","4582373.538","932256780","Centraleta","","25/10","28/03","","10:00:00","14:00:00"," ",
"61171409","Zoo de Barcelona","#","Parc","Ciutadella","0","0","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08003","019","BARCELONA","41.388209","2.186622","431996.317","4582172.602","432088.264","4582373.538","932256780","Centraleta","","25/10","28/03","1111111","10:00:00","14:00:00"," ",
"61171409","Zoo de Barcelona","#","Parc","Ciutadella","0","0","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08003","019","BARCELONA","41.388209","2.186622","431996.317","4582172.602","432088.264","4582373.538","932256780","Centraleta","","29/03","31/05","0000000","10:00:00","19:00:00"," ",
"61171409","Zoo de Barcelona","#","Parc","Ciutadella","0","0","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08003","019","BARCELONA","41.388209","2.186622","431996.317","4582172.602","432088.264","4582373.538","932256780","Centraleta","","01/06","23/06","0000011","10:00:00","19:00:00"," ",
"61171409","Zoo de Barcelona","#","Parc","Ciutadella","0","0","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08003","019","BARCELONA","41.388209","2.186622","431996.317","4582172.602","432088.264","4582373.538","932256780","Centraleta","","01/06","23/06","1111100","10:00:00","20:00:00"," ",
"61171409","Zoo de Barcelona","#","Parc","Ciutadella","0","0","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08003","019","BARCELONA","41.388209","2.186622","431996.317","4582172.602","432088.264","4582373.538","932256780","Centraleta","","24/06","13/09","0000000","10:00:00","20:00:00"," ",
"61171409","Zoo de Barcelona","#","Parc","Ciutadella","0","0","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08003","019","BARCELONA","41.388209","2.186622","431996.317","4582172.602","432088.264","4582373.538","932256780","Centraleta","","14/09","24/10","0000000","10:00:00","19:00:00"," ",
"157123029","Parc de La Maquinista de Sant Andreu","#","C","Ferran Junoy","1","1","58","Baró de Viver","09","Sant Andreu","08030","019","BARCELONA","41.444768","2.196349","432867.82","4588444.097","432959.773","4588645.091","010","Tel.","","","","","","","",
"335195642","Jardins Interior d'Illa d'Emma de Barcelona","#","C","Comte Borrell","157","157","09","la Nova Esquerra de l'Eixample","02","Eixample","08015","019","BARCELONA","41.382637","2.155533","429390.993","4581578.817","429482.916","4581779.747","010","Tel.","","01/11","31/03","0000000","10:00:00","19:00:00","Hora de tancament<br>aproximada,
en funció de<br> l'horari solar (tanquen<br> quan es fa fosc, al capvespre)",
"335195642","Jardins Interior d'Illa d'Emma de Barcelona","#","C","Comte Borrell","157","157","09","la Nova Esquerra de l'Eixample","02","Eixample","08015","019","BARCELONA","41.382637","2.155533","429390.993","4581578.817","429482.916","4581779.747","010","Tel.","","01/04","31/10","0000000","10:00:00","21:00:00"," ",
"1086092955","Jardins dels Horts de Sant Pau","#","C","Tàpies","20","20","01","el Raval","01","Ciutat Vella","08001","019","BARCELONA","41.376311","2.170289","430618.09","4580864.593","430710.025","4581065.517","010","Informació","","","","","","","",
"1183122853","Jardins Interior d'Illa de Safo","#","Av","Roma","22","22","09","la Nova Esquerra de l'Eixample","02","Eixample","08015","019","BARCELONA","41.381193","2.145466","428547.728","4581426.807","428639.643","4581627.735","010","Tel.","","01/11","31/03","0000000","10:00:00","19:00:00","Hora de tancament<br>aproximada,
en funció de<br> l'horari solar (tanquen<br> quan es fa fosc, al capvespre)",
"1183122853","Jardins Interior d'Illa de Safo","#","Av","Roma","22","22","09","la Nova Esquerra de l'Eixample","02","Eixample","08015","019","BARCELONA","41.381193","2.145466","428547.728","4581426.807","428639.643","4581627.735","010","Tel.","","01/04","31/10","0000000","10:00:00","21:00:00"," ",
"1288121408","Jardins de Can Senillosa","#","C","Fontcoberta","1","1","23","Sarrià","05","Sarrià-Sant Gervasi","08034","019","BARCELONA","41.394795","2.124125","426778.527","4582954.61","426870.426","4583155.552","","No tenen telèfon","","","","","","","",
"1338142144","Jardins del Mirador de l'Alcalde","#","Ctra","Montjuïc","41","51","11","el Poble-sec","03","Sants-Montjuïc","08038","019","BARCELONA","41.367365","2.16851","430459.841","4579872.826","430551.774","4580073.74","010","Tel.","","01/01","31/12","0000000","10:00:00","19:00:00","L'horari de tancament és<br> aproximat, es tanca al<br> capvespre,quan es fa fosc.",
"75990123317","Parc d'Atraccions del Tibidabo","#","Pl","Tibidabo","3","4","22","Vallvidrera, el Tibidabo i les Planes","05","Sarrià-Sant Gervasi","08035","019","BARCELONA","41.421793","2.119804","426447.704","4585955.627","426539.599","4586156.597","932117942","Tel.","","07/03","31/03","1111100","11:00:00","19:00:00"," ",
"75990123317","Parc d'Atraccions del Tibidabo","#","Pl","Tibidabo","3","4","22","Vallvidrera, el Tibidabo i les Planes","05","Sarrià-Sant Gervasi","08035","019","BARCELONA","41.421793","2.119804","426447.704","4585955.627","426539.599","4586156.597","932117942","Tel.","","01/04","30/04","1111100","11:00:00","20:00:00","L'entrada del <b>Parc<br> d'Atraccions</b> inclou les <br>atraccions del <b>Camí del  Cel",
"75990123317","Parc d'Atraccions del Tibidabo","#","Pl","Tibidabo","3","4","22","Vallvidrera, el Tibidabo i les Planes","05","Sarrià-Sant Gervasi","08035","019","BARCELONA","41.421793","2.119804","426447.704","4585955.627","426539.599","4586156.597","932117942","Tel.","","01/04","30/04","","11:00:00","20:00:00"," ",
"75990123317","Parc d'Atraccions del Tibidabo","#","Pl","Tibidabo","3","4","22","Vallvidrera, el Tibidabo i les Planes","05","Sarrià-Sant Gervasi","08035","019","BARCELONA","41.421793","2.119804","426447.704","4585955.627","426539.599","4586156.597","932117942","Tel.","","01/04","30/04","","11:00:00","20:00:00"," ",
"75990123317","Parc d'Atraccions del Tibidabo","#","Pl","Tibidabo","3","4","22","Vallvidrera, el Tibidabo i les Planes","05","Sarrià-Sant Gervasi","08035","019","BARCELONA","41.421793","2.119804","426447.704","4585955.627","426539.599","4586156.597","932117942","Tel.","","01/04","30/04","","11:00:00","21:00:00"," ",
"75990123317","Parc d'Atraccions del Tibidabo","#","Pl","Tibidabo","3","4","22","Vallvidrera, el Tibidabo i les Planes","05","Sarrià-Sant Gervasi","08035","019","BARCELONA","41.421793","2.119804","426447.704","4585955.627","426539.599","4586156.597","932117942","Tel.","","01/04","30/04","","11:00:00","21:00:00"," ",
"75990123317","Parc d'Atraccions del Tibidabo","#","Pl","Tibidabo","3","4","22","Vallvidrera, el Tibidabo i les Planes","05","Sarrià-Sant Gervasi","08035","019","BARCELONA","41.421793","2.119804","426447.704","4585955.627","426539.599","4586156.597","932117942","Tel.","","01/04","30/04","","11:00:00","21:00:00"," ",
"75990123317","Parc d'Atraccions del Tibidabo","#","Pl","Tibidabo","3","4","22","Vallvidrera, el Tibidabo i les Planes","05","Sarrià-Sant Gervasi","08035","019","BARCELONA","41.421793","2.119804","426447.704","4585955.627","426539.599","4586156.597","932117942","Tel.","","01/04","30/04","","11:00:00","21:00:00"," ",
"75990123317","Parc d'Atraccions del Tibidabo","#","Pl","Tibidabo","3","4","22","Vallvidrera, el Tibidabo i les Planes","05","Sarrià-Sant Gervasi","08035","019","BARCELONA","41.421793","2.119804","426447.704","4585955.627","426539.599","4586156.597","932117942","Tel.","","01/04","30/04","1111111","11:00:00","21:00:00"," ",
"75990123317","Parc d'Atraccions del Tibidabo","#","Pl","Tibidabo","3","4","22","Vallvidrera, el Tibidabo i les Planes","05","Sarrià-Sant Gervasi","08035","019","BARCELONA","41.421793","2.119804","426447.704","4585955.627","426539.599","4586156.597","932117942","Tel.","","01/04","30/04","","11:00:00","21:00:00"," ",
"75990123317","Parc d'Atraccions del Tibidabo","#","Pl","Tibidabo","3","4","22","Vallvidrera, el Tibidabo i les Planes","05","Sarrià-Sant Gervasi","08035","019","BARCELONA","41.421793","2.119804","426447.704","4585955.627","426539.599","4586156.597","932117942","Tel.","","01/05","31/05","","11:00:00","21:00:00"," ",
"75990123317","Parc d'Atraccions del Tibidabo","#","Pl","Tibidabo","3","4","22","Vallvidrera, el Tibidabo i les Planes","05","Sarrià-Sant Gervasi","08035","019","BARCELONA","41.421793","2.119804","426447.704","4585955.627","426539.599","4586156.597","932117942","Tel.","","01/05","31/05","1111101","11:00:00","21:00:00"," ",
"75990123317","Parc d'Atraccions del Tibidabo","#","Pl","Tibidabo","3","4","22","Vallvidrera, el Tibidabo i les Planes","05","Sarrià-Sant Gervasi","08035","019","BARCELONA","41.421793","2.119804","426447.704","4585955.627","426539.599","4586156.597","932117942","Tel.","","01/05","31/05","1111110","11:00:00","20:00:00"," ",
"75990123317","Parc d'Atraccions del Tibidabo","#","Pl","Tibidabo","3","4","22","Vallvidrera, el Tibidabo i les Planes","05","Sarrià-Sant Gervasi","08035","019","BARCELONA","41.421793","2.119804","426447.704","4585955.627","426539.599","4586156.597","932117942","Tel.","","01/05","31/05","","11:00:00","20:00:00"," ",
"75990352709","L'Aquàrium de Barcelona - Aspro Parks","#","Moll","Espanya","5","5","02","el Barri Gòtic","01","Ciutat Vella","08039","019","BARCELONA","41.375761","2.183239","431700.47","4580793.297","431792.415","4580994.22","932219226","Fax","","","","","","","",
"75990352709","L'Aquàrium de Barcelona - Aspro Parks","#","Moll","Espanya","5","5","02","el Barri Gòtic","01","Ciutat Vella","08039","019","BARCELONA","41.375761","2.183239","431700.47","4580793.297","431792.415","4580994.22","932217474","Tel.","","","","","","","",
"92086000166","Jardí de les Escultures *Annex Edifici Fundació Joan Miró","#","Av","Miramar","1","1","11","el Poble-sec","03","Sants-Montjuïc","08038","019","BARCELONA","41.368292","2.160157","429762.24","4579982.478","429854.167","4580183.393","934439470","Tel.","","","","","","","",
"92086010494","Jardins del Palau de Pedralbes","#","Av","Diagonal","686","686","21","Pedralbes","04","Les Corts","08034","019","BARCELONA","41.386549","2.118443","426294.195","4582043.996","426386.089","4582244.929","010","Tel.","","01/11","31/03","0000000","10:00:00","19:00:00","Hora de tancament<br>aproximada,
en funció de<br> l'horari solar (tanquen<br> quan es fa fosc, al capvespre).<br><br>
Aquests jardins es tanquen<br> quan s'hi celebren actes<br> institucionals en el Palau.<br><br>
Amb motiu del 7ê Festival<br>de Música dels Jardins<br>de Pedralbes (juny-juliol)<br> hi ha variacions en<br> els horaris habituals<br> del parc.",
"92086010494","Jardins del Palau de Pedralbes","#","Av","Diagonal","686","686","21","Pedralbes","04","Les Corts","08034","019","BARCELONA","41.386549","2.118443","426294.195","4582043.996","426386.089","4582244.929","010","Tel.","","01/04","31/10","0000000","10:00:00","21:00:00"," ",
"92086010721","Parc de Cervantes","#","Av","Diagonal","706","706","21","Pedralbes","04","Les Corts","08034","019","BARCELONA","41.384568","2.109447","425539.792","4581831.776","425631.679","4582032.707","010","Tel.","","01/11","31/03","0000000","10:00:00","19:00:00","Hora de tancament<br>aproximada,
en funció de<br> l'horari solar (tanquen<br> quan es fa fosc, al capvespre)",
"92086010721","Parc de Cervantes","#","Av","Diagonal","706","706","21","Pedralbes","04","Les Corts","08034","019","BARCELONA","41.384568","2.109447","425539.792","4581831.776","425631.679","4582032.707","010","Tel.","","01/04","31/10","0000000","10:00:00","21:00:00"," ",
"92086011921","Parc de la Ciutadella","#","Pg","Picasso","21","21","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08003","019","BARCELONA","41.386336","2.18539","431891.333","4581965.588","431983.279","4582166.522","010","Tel.","","01/01","31/12","0000000","08:00:00","22:30:00"," ",
